"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"MBC55P",24,24,0,24,2.44096975264613,1.69416915789766,0.757408592181426,4.12215753637848,3.28419721195356
"MBC56P",27,27,0,27,2.16024689946929,1.66013057750872,0.636692885215088,2.75249220096344,3.76507344444083
"MBC57P",27,27,0,27,2.16024689946929,1.93172827390218,0.750795383853432,4.01276675955255,3.76507344444083
"MBC58P",25,25,0.489897948556636,25.1960628129267,2.29022099051394,1.79232294142231,0.662940051769618,2.96683128698666,3.44331680957018
"MBC59P",29,29,0.245651842220259,29.2848422238918,2.44825430784143,2.11716214681771,0.778091909762271,4.50637017753028,4.09134408541167
"MBC5A",47,47,0.247326126331121,47.2179925981579,3.30839340110794,2.94335834140653,0.926493365932974,13.6042142684451,7.20549489883423
"MBC60P",35,35,0,35,2.67261241912424,2.04211799173143,0.771874432643428,4.38355074175858,5.09545673511317
"MBC61P",26,26,0.163430112615153,26.6383928571429,2.27544806670116,1.56892234728964,0.629679857373233,2.70036620991439,3.60361812416098
"MBC62P",25,25,0.489897948556636,25.2,2.34534623687512,1.52877109121456,0.589358326391559,2.43521314145415,3.44331680957018
"MBC63P",25,25,0,25,0.979795897113271,2.14214986073982,0.79867460498633,4.96708326305333,3.44331680957018
"MBC64P",33,33,0,33,2.64001836540903,2.14867054596933,0.80986696489598,5.2594752903035,4.75669403322537
"MBC6A",40,40,0,40,2.5298221281347,2.85804944325352,0.923525757320902,13.0762981752721,5.95905095258171
"MBC73D",37,38,1.57905701373686,39.0539965371279,3.00578944074907,1.17195136165355,0.483466728875646,1.93598371276892,5.43809379471996
"MBC74D",26,26.5,1.29084219984693,26.8885714285714,2.52479015885951,1.40480409846078,0.633629994072793,2.72948108147992,3.60361812416098
"MBC75D",36,37.5,2.22799423996862,38.0762987272873,2.97227530797332,1.48205654441292,0.598190232656243,2.48873989950692,5.2662988437648
"MBC76D",38,39.2,1.83846431034387,39.8319689320388,3.07501298561148,1.68439745934701,0.702059287426844,3.35637245196714,5.61082677630956
"MBC77D",40,40.8571428571429,1.39392532714754,42.0549794238683,3.15780521715921,1.73837926867303,0.700778730269341,3.34200841036514,5.95905095258171
"MBC78D",37,37.1428571428571,0.486287144206958,37.9030612244898,3.02081463461729,1.93919067930537,0.770823488028109,4.36344890405982,5.43809379471996
"MBC79D",43,46.5,3.65887898952345,48.3550687365566,3.4287804456366,1.91881397183925,0.761778072135717,4.1977663809761,6.48808898480005
"MBC7A",31,31,0.491869376837965,31.2713469387755,2.14610791032965,2.45081545907311,0.86622149200094,7.47504225422386,4.4219400262087
"MBC80D",46,48.3333333333333,2.55217537945464,50.3906782749782,3.43311842577514,1.76205532155322,0.736955638055876,3.80164012111547,7.02488746358219
"MBC81D",38,39,1.57911042792762,40.9876543209877,3.24105408457309,1.70362137813009,0.699005323807083,3.32231789827096,5.61082677630956
"MBC82D",41,44,3.41573897235616,44.4975932025023,3.23337783402115,1.44575245008685,0.584310187855098,2.40563990452434,6.13451575179457
"MBC83D",42,44.5,3.15672102670626,44.8467827497972,3.33855239618563,1.59076508580089,0.582542288088983,2.39545221340444,6.31086570741535
"MBC84D",44,46.8,2.82767035881477,48.8534170756554,3.17379158440696,0.737053428029569,0.242441976109616,1.32003089989671,6.66617423201909
"MBC85D",42,43.25,1.73142984395904,45.0439992065066,3.28434440131159,1.54738003538833,0.636051939158016,2.74764480867552,6.31086570741535
"MBC86D",49,55.4285714285714,5.464360927948,57.6839943179637,3.70152371870405,1.85107690171907,0.67485954587445,3.07559390814488,7.56916289459798
"MBC87D",50,50.6,1.0588031127743,51.8170538494923,3.53706613590657,2.03577501816664,0.781486537629758,4.57637707605233,7.75220510276387
"MBC88D",57,61,3.68692312712304,63.2471952320751,3.88844780736576,2.16215517629623,0.78844733529305,4.72695534885005,9.05527544383408
"MBC89D",43,44.25,1.73146299858417,46.262447257384,3.33627431729808,2.01768080146799,0.769521321259985,4.33879613275649,6.48808898480005
"MBC8A",35,35,0.246402690152291,35.3261417143011,2.56896542968277,2.7272792579326,0.906062355157204,10.6453595006932,5.09545673511317
"MBC90D",47,48.25,1.73158186901637,49.4716000370737,3.38170763337291,1.85771234650555,0.722860748670383,3.60829436899447,7.20549489883423
"MBC91D",64,66.625,2.82682819355474,67.371052183018,3.91237901713154,1.75067483025694,0.618067152991371,2.61826131958063,10.3946720194171
"MBC92D",37,39.5,2.89628199025727,40.8774842895826,3.08867698662112,1.25308046061988,0.467714907994788,1.87869248081479,5.43809379471996
"MBC93D",34,34.1666666666667,0.542603074962488,34.6361160070502,2.85400273367509,1.19186216435484,0.450566388728694,1.82005610775459,4.92558301696329
"MBC94D",44,51.2,6.43408538080588,53.086739780658,3.58012103860694,1.91330618838425,0.718499195021146,3.55238771013503,6.66617423201909
"MBC95D",51,52.875,2.25575620259487,54.4363837074358,3.6032819894185,1.76362757512495,0.6206104956961,2.63581356008989,7.93604108941908
"MBC96D",56,60.5,3.91568418601757,62.8868312757202,3.82513352495142,1.48151024529976,0.52067180357982,2.08625323414815,8.86684359093187
"MBC97D",54,58.5,4.10528505522033,61.7814697542533,3.93119363107019,2.5097788710205,0.86189965331176,7.24111143802913,8.49222919876737
"MBC98D",50,57.2,6.4349570882231,56.3997622640729,3.81648668343002,2.18462499440542,0.789275342149387,4.74552911937302,7.75220510276387
"MBC99D",41,44,4.16628786156868,43.6924687086163,2.98243717474945,2.49665604247282,0.857121676625443,6.99896230849862,6.13451575179457
"MBC9A",34,34,0,34,2.47338776960337,2.58205112343977,0.888819554578367,8.99438742314507,4.92558301696329
"MBD100",37,39.5,3.15601695780848,40.1208047255571,3.00447776633789,1.71565036770815,0.681983792291426,3.14449382063064,5.43809379471996
"MBD101",71,80.0666666666667,5.89359655776393,86.1859714734594,4.62855655956909,2.31082455061173,0.851133561744415,6.71743081730163,11.768282665353
"MBD102",51,55.5,4.10514262187636,57.4195402298851,3.70878879666372,1.8983984189011,0.721458042980264,3.590123407976,7.93604108941908
"MBD103",41,50.3333333333333,8.84866727813479,48.5106837735486,3.46420435717024,1.64823931754299,0.638524445726003,2.76643880388659,6.13451575179457
"MBD104",50,55.25,5.36802892942131,53.5782204580153,3.56722483608472,2.32244496367793,0.841242784559358,6.29892630218051,7.75220510276387
"MBD105",44,44.2,0.620561707309745,44.6957910700796,3.3047129464774,1.88694757351805,0.723550754383998,3.61730052028803,6.66617423201909
"MBD106",24,27,4.58257569495584,25.5544211647727,2.49452980715079,1.07327439533606,0.481467965045495,1.92852115701538,3.28419721195356
"MBD107",59,64.625,4.81247973718699,67.6611988535886,4.2032975321639,2.20137554875676,0.785074901079713,4.65278371406444,9.43435399853725
"MBD108",38,43.25,5.36579018403934,42.4344339622642,3.14270176411131,1.56338011298521,0.684509947429407,3.16967204465581,5.61082677630956
"MBD73",31,32.5,2.22728922856739,33.753023255814,2.69712918591197,1.49349843585157,0.653070967629971,2.88243388905376,4.4219400262087
"MBD74",33,43.5,10.5296516190419,40.1764645531959,3.25511540789023,1.23542645635672,0.557796113407237,2.26140029592486,4.75669403322537
"MBD75",40,47.5,6.34748534267221,48.9723168721761,3.47879376738233,1.3537943420691,0.608620499193686,2.5550648358941,5.95905095258171
"MBD76",37,38.4285714285714,1.93302806869342,39.9817708333333,2.89668895882065,1.66163301658881,0.68552451447627,3.179898103455,5.43809379471996
"MBD77",44,48,3.88788454799051,49.9170874078532,3.49227782242617,1.44490211371657,0.633347150134564,2.72737550074138,6.66617423201909
"MBD78",38,45.5,8.14442943177917,42.5422836363636,3.05074304459555,1.81534968859592,0.725891600853304,3.64819174864038,5.61082677630956
"MBD79",47,56,8.03895024130283,54.7616104292957,3.65176451902415,1.85269434465505,0.746887715462002,3.95081574892852,7.20549489883423
"MBD80",52,55,3.18152132195871,55.0584727447371,3.45237106226865,1.81352628450316,0.678350040315691,3.10896976633068,8.12066246198951
"MBD81",45,48.75,4.20381437369225,48.196,3.39851145783461,1.82045070274265,0.7031040578677,3.36818345450606,6.84511054973282
"MBD82",45,48,3.18116199943773,49.266975308642,3.29838500287533,1.23690404730647,0.48286207695224,1.93372010721334,6.84511054973282
"MBD83",44,47.5,3.65896319958351,48.1841786289905,3.33974814968491,1.47749179786496,0.558695707313426,2.26601013534719,6.66617423201909
"MBD84",36,38,2.5823795636053,40.1155810983397,3.15802386909,1.42814717073496,0.579719021663676,2.37936059813719,5.2662988437648
"MBD85",34,35,1.57887844461097,36.4044444444444,2.97320401778007,1.44375007863102,0.622298381498569,2.64759257312055,4.92558301696329
"MBD86",39,46,7.10518793925776,46.7510204081633,3.36528758192858,1.7375096812018,0.677654694775514,3.10226326796844,5.78448366007292
"MBD87",41,46.25,5.36645888013336,45.6622323381875,3.1974414342869,1.63969909235566,0.668120017274339,3.01313743536808,6.13451575179457
"MBD88",48,53.1428571428571,4.64932333362621,54.472914974086,3.63118216424694,1.78522744784846,0.712041175402623,3.47271871733119,7.3869231570534
"MBD89",41,43.5,3.15659317299048,44.3844075816001,3.25212908782553,1.95319700074792,0.768251026581657,4.31501372044847,6.13451575179457
"MBD90",50,63.2,10.2139651235112,62.6389866291344,4.02048416948813,1.99264328916323,0.761289227700884,4.18916997489729,7.75220510276387
"MBD91",61,65.2,4.33774431783054,63.8259297520661,3.73391063661877,1.88989381325043,0.673035327625059,3.05843439517914,9.81634213135561
"MBD92",46,52,5.3854995839969,50.4383868781888,3.30302612653675,1.26477586056913,0.448116242684438,1.81197577704431,7.02488746358219
"MBD93",46,49.5,3.65912140718271,50.0720042587171,3.4608878715195,1.25636842974988,0.438426877082532,1.78071200203605,7.02488746358219
"MBD94",35,37,2.87841714928279,37.6045942164179,3.01557633988919,1.72411438577639,0.686713126495151,3.19196265331086,5.09545673511317
"MBD95",51,58.2,6.43508488877755,57.2909411438019,3.72284644973771,1.93212670968798,0.73564662963497,3.78281539826467,7.93604108941908
"MBD96",49,56.5,6.34863177139229,58.2726201869985,3.81639247299073,1.71259712496052,0.657212169998718,2.91725642650809,7.56916289459798
"MBD97",56,59,3.18168835396184,60.8147566718995,3.87233094593369,2.2803426280651,0.807970492118416,5.20753300381655,8.86684359093187
"MBD98",44,45.6666666666667,2.20327230483173,46.5495358649789,3.28170121448996,2.24928073006247,0.816694684069161,5.45537915756519,6.66617423201909
"MBD99",41,41.2,0.620485247002355,41.822176771366,3.17188888680749,2.30493787153046,0.823332922834166,5.66036420618043,6.13451575179457
"MBP37",28,28,0.245495126515491,28.3354716430967,2.46833778062925,2.03488382589226,0.825376407711778,5.72660307176286,3.9276568603677
"MBP38",27,27.3333333333333,0.922387094675532,27.7795985832349,2.56721620644912,1.93250316188623,0.818926397833098,5.52261615184673,3.76507344444083
"MBP39",41,41.25,0.735255959348563,41.7403438859543,3.13777461098387,2.2291888156066,0.840088047065231,6.25344123217556,6.13451575179457
"MBP40",26,32,7.28010988928052,27.9939321804476,2.61022608927748,1.93673661350332,0.81761363484664,5.48286599801004,3.60361812416098
"MBP41",29,29,0.122825921110129,29.4625205108604,2.66646225857023,1.94483119994908,0.801699199559998,5.04284399145712,4.09134408541167
"MBP42",24,24,0.16315750172876,24.3413195260314,2.43935738818851,1.71904869033564,0.758025842758127,4.13267272587468,3.28419721195356
"MBP43",19,19,0,19,2.17642875033004,1.64658386317385,0.744519085207612,3.91418670475888,2.50744993474893
"MBP44",26,27,1.81103158198484,27.7578250591017,2.56360531693293,1.80167018199912,0.787316710453244,4.70182684371244,3.60361812416098
"MBP45",18,19,2.29988558067799,18.874574829932,2.14619259955764,1.77708789163945,0.799517630104874,4.98796976773124,2.35613422990319
"MBP46",25,26,2.31217513310602,25.8562822037257,2.12624787515161,1.6020831328508,0.64959991349481,2.8538805739855,3.44331680957018
"MBP47",23,23.3333333333333,0.921715293836669,24.3579072532699,2.33879315891961,1.02391589537382,0.401418708482848,1.67061686386058,3.12628904929024
"MBP48",35,36,2.32139804619735,35.8183831672204,2.51743736575788,2.21259174634326,0.82162885068243,5.60628780958074,5.09545673511317
"MBP49",30,30,0.122899010031272,30.2903889455865,2.65529911901771,1.80806350409451,0.735878328046905,3.78613383977665,4.25611230196616
"MBP50",24,24,0.48947250518628,24.3708995480391,1.73745580420944,1.37131916544015,0.569322629650989,2.32192371563341,3.28419721195356
"MBP51",26,26,0,26,2.42582262018792,1.83002446070903,0.746316437454612,3.94191878246381,3.60361812416098
"MBP52",24,24,0.24473625259314,24.6071916249431,2.22568191513412,1.83622628399935,0.729487223129993,3.69668306085424,3.28419721195356
"MBP53",32,32,0,32,2.33853586673371,1.9888951093811,0.756743950643983,4.11089468338957,4.58880698940897
